item	onset	offset
dag	35.479	35.62
pap	35.62	35.857
wat	36.601	36.711
gaan	36.711	36.863
we	36.863	36.911
vandaag	36.911	37.226
doen	37.226	37.516
pippi	37.516	37.862
wat	53.58	53.738
saaiers	53.739	54.387
wist	54.387	54.574
je	54.574	54.629
zeker	54.629	54.84
niet	54.84	54.993
te	54.993	55.053
bedenken	55.053	55.6288
hè	55.689	55.9107
noú	58.932	59.039
dan	59.039	59.199
laat	59.199	59.432
je	59.432	59.47
ze	59.47	59.611
verstikken	59.611	60.1143
hé	90.126	90.532
ik	90.943	91.052
geloof	91.052	91.326
dat	91.326	91.428
het	91.428	91.476
dadelijk	91.476	91.796
gaat	91.796	91.942
regenen	91.942	92.414
hooeff	99.853	100.238
waar	100.823	100.903
moeten	100.903	101.121
we	101.121	101.241
vannacht	101.241	101.644
gaan	101.644	101.748
slapen	101.748	102.334
pippi	150.359	150.7185
zonder	151.631	151.901
paard	151.901	152.2
zullen	152.2	152.344
we	152.344	152.429
niet	152.429	152.624
ver	152.624	152.84
komen	152.84	153.274
voor	224.4439	224.552
alle	224.552	224.781
twee	224.969	225.4313
