item	onset	offset
halloo	173.274	173.805
welkom	174.694	175.269
ga	175.753	175.897
op	175.897	176.037
het	176.037	176.159
bankstel	176.159	176.6531
of	177.214	177.437
in	177.437	177.577
één	177.577	177.716
van	177.716	177.873
de	177.873	177.945
vele	177.945	178.185
luie	178.185	178.439
stoelen	178.439	178.756
als	178.756	178.926
je	178.926	178.983
dat	178.983	179.138
liever	179.138	179.414
is	179.414	179.699
wauuww	213.353	213.599
ook	213.599	213.849
mooie e	213.849	214.066
namen	214.066	214.384
annika	215.047	215.45
schijnt	215.45	215.74
nogal	215.74	215.93
bang	215.93	216.143
te	216.143	216.249
zijn	216.249	216.549
haar	216.675	216.829
hart	216.829	216.992
klopt	216.992	217.242
zo	217.242	217.459
luid	217.459	217.728
dat	217.728	217.838
je	217.838	217.927
t	217.927	218.01
hoort	218.01	218.442
waarom	219.345	219.55
ben	219.55	219.634
je	219.634	219.725
bang	219.725	219.971
voor	220.178	220.327
het	220.327	220.382
onweer	220.382	220.914
of	221.017	221.131
voor	221.131	221.279
mij	221.279	221.502
jaaa	225.712	225.976
dat	225.976	226.121
onweer	226.121	226.481
is	226.481	226.603
iets	226.603	226.741
aparts	226.741	227.225
daar	227.225	227.342
kan	227.342	227.484
ik	227.484	227.601
niks	227.601	227.791
aan	227.791	227.868
veranderen	227.868	228.26
maar	229.282	229.496
voor	229.587	229.775
mij	229.775	230.032
hoef	230.032	230.215
je	230.215	230.258
niet	230.258	230.418
bang	230.418	230.625
te	230.625	230.744
zijn	230.744	231.007
ik	231.348	231.477
ben	231.477	231.557
marskramer	231.557	232.251
en	232.251	232.308
ik	232.308	232.379
zou	232.379	232.518
geen	232.518	232.666
vlieg	232.666	232.981
kwaad	232.981	233.322
doen	233.322	233.525
en	233.9	234.035
ik	234.035	234.151
ben	234.151	234.321
blij	234.321	234.729
als	234.729	234.888
de	234.888	234.998
vliegen	234.998	235.442
mij	235.442	235.785
ook	235.785	236.025
niks	236.025	236.236
doen	236.236	236.5152
nou	270.208	270.41
ik	270.41	270.574
trek	270.574	270.736
van	270.736	270.944
dorp	270.944	271.202
naar	271.202	271.326
dorp	271.326	271.602
en	271.602	271.67
verkoop	271.67	272.055
de	272.055	272.121
boeren	272.121	272.398
van	272.398	272.523
allerlei	272.523	272.991
no	274.897	275.0
jaa	275.0	275.365
zo	275.365	275.677
allerlei	275.677	276.192
peterselie	281.898	282.575
mest	282.575	282.893
kind	282.893	283.193
weet	283.193	283.402
jij	283.402	283.596
veel	283.596	283.918
ik	284.126	284.276
zal	284.276	284.447
je	284.447	284.568
zeggen	284.568	284.851
wat	284.851	284.999
ik	284.999	285.099
verkoop	285.099	285.482
mijn	285.573	285.803
succes	285.803	286.257
is	286.257	286.393
koenraads	286.492	286.974
kleef	287.016	287.254
pasta	287.315	287.749
wee	288.028	288.207
het	288.283	288.438
kind	288.438	288.703
dat	288.703	288.845
eens	288.94	289.173
aan	289.173	289.326
mijn	289.326	289.525
lijm	289.525	289.733
blijft	289.733	290.018
hangen	290.018	290.242
het	290.288	290.488
komt	290.559	290.861
niet	290.99	291.219
meer	291.281	291.403
los	291.403	291.692
koenraads	292.169	292.721
kleef	292.721	293.053
pasta	293.053	293.581
lijmt	293.951	294.474
plakt	294.605	294.98
en	294.98	295.106
kit	295.106	295.495
alles	296.011	296.384
voor	296.773	296.959
het	296.959	297.084
leven	297.084	297.436
dat	331.598	331.728
mijn	331.728	331.835
lijm	331.835	332.044
goed	332.129	332.307
is	332.307	332.427
wist	332.427	332.629
ik	332.629	332.734
al	332.734	332.816
lang	332.816	333.03
maar	333.03	333.184
dat	333.184	333.326
ie	333.326	333.428
zo	333.428	333.712
goed	333.712	333.924
was	333.924	334.059
is	334.059	334.181
zelfs	334.181	334.424
voor	334.424	334.675
mij	334.675	334.815
nieuw	334.815	335.072
pippi	353.222	353.569
laat	353.569	353.773
hem	353.773	353.818
niet	353.818	354.011
op	354.011	354.082
drogen	354.082	354.516
dan	354.516	354.629
blijf	354.629	354.862
je	354.862	354.894
daar	354.894	354.976
boven	354.976	355.236
hangen	355.236	355.58
dan	355.874	356.046
moeten	356.046	356.335
ze	356.335	356.476
je	356.476	356.67
eten	356.67	356.895
komen	356.895	357.19
brengen	357.19	357.479
met	357.479	357.659
een	357.659	357.697
ladder	357.697	358.077
