item	onset	offset
pippi	30.736	31.106
wil	31.59	31.704
je	31.704	31.818
mee	31.818	31.966
ontbijten	31.966	32.49
dat	38.072	38.275
kan	38.275	38.47
ik	38.47	38.684
jullie	38.684	38.916
heel	38.916	39.302
precies	39.302	39.773
zeggen	39.773	40.148
tommy	40.865	41.14
en	41.14	41.246
annika	41.246	41.8134
wieden	42.084	42.38
de	42.38	42.504
aarbeienbedden	42.587	43.506
hmmhmmm	46.307	46.679
stel	50.671	50.957
niet	50.957	51.152
uit	51.152	51.376
tot	51.376	51.525
morgen	51.525	51.886
wat	51.886	52.038
je	52.038	52.142
vandaag	52.142	52.616
kunt	52.616	52.831
doen	52.831	52.908
het	56.341	56.488
is	56.488	56.633
de	56.633	56.724
hoogste	56.724	57.073
tijd	57.143	57.488
anders	57.488	57.752
worden	57.752	57.957
de	57.957	58.007
bedden	58.007	58.233
verstikt	58.233	58.8032
