item	onset	offset
p	30.736	30.79
i	30.79	30.863
p	30.863	30.961
i	30.961	31.106
w	31.59	31.613
ɪ	31.613	31.668
l	31.668	31.704
j	31.704	31.76
ə	31.76	31.818
m	31.818	31.862
e	31.862	31.964
ɔ	31.964	32.055
n	32.055	32.081
t	32.081	32.108
b	32.108	32.162
ɛi	32.162	32.248
t	32.322	32.395
ə	32.395	32.49
n	32.93	33.05
e	33.05	33.248
k	33.248	33.304
h	33.304	33.321
ɛ	33.321	33.371
b	33.371	33.448
ɑ	33.448	33.501
l	33.501	33.574
d	33.574	33.619
r	33.619	33.648
i	33.648	33.737
m	33.737	33.807
a	33.807	33.899
l	33.899	33.943
ɔ	33.943	34.001
n	34.001	34.037
d	34.037	34.063
ɑ	34.063	34.1
χ	34.1	34.144
e	34.144	34.194
ɑ	34.194	34.258
ə	34.258	34.299
i	34.299	34.37
k	34.37	34.459
a	34.459	34.6132
k	34.939	35.012
l	35.012	35.053
ɛi	35.053	35.147
n	35.147	35.193
ə	35.193	35.233
w	35.233	35.289
ɪ	35.289	35.354
c	35.354	35.455
ə	35.455	35.479
d	35.479	35.498
ɑ	35.498	35.544
χ	35.544	35.619
p	35.619	35.674
ɑ	35.674	35.781
p	35.781	35.857
w	36.601	36.638
ɑ	36.638	36.663
t	36.663	36.711
χ	36.711	36.78
a	36.78	36.831
n	36.831	36.863
w	36.863	36.884
ə	36.884	36.911
v	36.911	36.988
ɑ	36.988	37.011
n	37.011	37.046
d	37.046	37.08
a	37.08	37.166
χ	37.166	37.226
d	37.226	37.313
u	37.313	37.416
n	37.416	37.516
p	37.516	37.568
i	37.568	37.626
p	37.626	37.722
i	37.722	37.862
d	38.072	38.111
ɑ	38.111	38.217
t	38.217	38.275
k	38.275	38.342
ɑ	38.342	38.42
n	38.42	38.47
ɪ	38.47	38.56
k	38.56	38.684
j	38.684	38.714
ʏ	38.714	38.763
l	38.763	38.802
i	38.802	38.916
h	38.916	38.971
e	38.971	39.202
l	39.202	39.302
p	39.302	39.368
r	39.368	39.398
ə	39.398	39.465
s	39.465	39.576
i	39.576	39.672
s	39.672	39.773
z	39.773	39.841
ɛ	39.841	39.965
χ	39.965	40.085
ə	40.085	40.148
t	40.865	40.892
ɔ	40.892	40.98
m	40.98	41.052
i	41.052	41.14
ɛ	41.14	41.195
n	41.195	41.246
ɑ	41.246	41.352
n	41.352	41.416
ɪ	41.416	41.507
k	41.507	41.616
a	41.616	41.8134
w	42.084	42.154
i	42.154	42.25
d	42.25	42.305
ə	42.305	42.38
d	42.38	42.433
ə	42.433	42.504
a	42.587	42.704
r	42.704	42.774
d	42.774	42.879
b	42.879	42.898
ɛi	42.898	43.081
ə	43.081	43.159
b	43.159	43.253
ɛ	43.253	43.377
d	43.377	43.43
ə	43.43	43.506
w	44.003	44.043
ɑ	44.043	44.217
t	44.217	44.395
ɑ	44.679	44.789
l	44.789	44.871
ə	44.871	44.924
a	44.924	45.11
r	45.11	45.157
d	45.157	45.183
b	45.183	45.245
ɛi	45.245	45.424
ə	45.424	45.489
b	45.489	45.564
ɛ	45.564	45.706
d	45.706	45.761
ə	45.761	45.88
n	47.279	47.334
ɛ	47.334	47.418
t	47.418	47.449
n	47.524	47.552
ɑu	47.552	47.682
ə	47.682	47.72
z	47.72	47.809
o	47.809	47.905
f	47.905	47.979
ɛi	47.979	48.117
n	48.117	48.172
w	48.172	48.238
e	48.238	48.484
r	48.484	48.531
ɪ	48.531	48.635
s	48.635	48.854
d	48.935	48.976
ɑ	48.976	49.01
t	49.01	49.046
k	49.046	49.097
ʏ	49.097	49.142
n	49.142	49.17
ə	49.17	49.213
w	49.213	49.253
ə	49.253	49.283
t	49.283	49.34
o	49.34	49.385
x	49.385	49.449
l	49.449	49.503
a	49.503	49.662
t	49.662	49.73
ə	49.73	49.781
w	49.781	49.826
ɛ	49.826	49.879
l	49.879	49.93
d	49.93	49.994
u	49.994	50.222
s	50.671	50.743
t	50.743	50.803
ɛ	50.803	50.913
l	50.913	50.957
n	50.957	51.024
i	51.024	51.083
t	51.083	51.152
œy	51.152	51.317
t	51.317	51.389
ɔ	51.389	51.443
t	51.443	51.525
m	51.525	51.573
ɔ	51.573	51.666
ə	51.666	51.749
χ	51.749	51.843
ə	51.843	51.886
w	51.886	51.928
ɑ	51.928	51.985
t	51.985	52.038
j	52.038	52.097
ə	52.097	52.142
v	52.142	52.215
ɑ	52.215	52.266
n	52.266	52.358
d	52.358	52.383
a	52.383	52.534
χ	52.534	52.616
k	52.616	52.684
ʏ	52.684	52.751
n	52.751	52.831
d	52.831	52.853
u	52.853	52.908
w	53.58	53.623
ɑ	53.623	53.674
t	53.674	53.738
s	53.738	53.998
ai	53.998	54.202
j	54.202	54.25
ə	54.25	54.297
s	54.297	54.387
w	54.387	54.446
ɪ	54.446	54.487
s	54.487	54.574
ə	54.574	54.629
z	54.629	54.693
e	54.693	54.75
k	54.75	54.823
