item	onset	offset
nee	32.93	33.248
k	33.248	33.304
heb	33.304	33.448
al	33.448	33.574
driemaal	33.574	33.943
ontbeten	33.943	34.459
we	103.718	103.826
zullen	103.826	104.035
wel	104.035	104.153
ergens	104.153	104.43
wat	104.43	104.566
vinden	104.566	104.8881
je	106.955	107.045
weet	107.045	107.288
toch	107.288	107.556
ik	107.634	107.783
ben	107.783	107.927
een	107.927	108.007
geluksvogel	108.007	108.8413
achter	109.605	109.858
die	109.858	110.029
heuvel	110.029	110.41
ligt	110.41	110.624
waarschijnlijk	110.624	111.105
een	111.105	111.192
heel	111.192	111.484
erg	111.484	111.715
mooi	111.715	111.92
slot	111.92	112.4901
en	113.34	113.444
de	113.444	113.511
graaf	113.511	113.993
en	113.993	114.089
gravin	114.089	114.553
zijn	114.553	114.776
reuzeblij	114.776	115.8377
dat	115.8377	116.08
we	116.08	116.153
komen	116.153	116.62
we	153.409	153.479
zullen	153.479	153.67
maar	153.67	153.78
afwachten	153.78	154.13
heb	154.13	154.265
ik	154.265	154.322
gezegd	154.322	154.675
welnee	157.603	158.196
die	158.196	158.301
loopt	158.301	158.566
terug	158.566	158.736
naar	158.736	158.821
vila	158.821	159.056
kakelbont	159.056	159.672
en	159.672	159.734
zet	159.734	159.954
koffie	159.954	160.289
zodat	160.289	160.602
we	160.602	160.796
warms	160.796	161.169
krijgen	161.169	161.462
als	161.462	161.567
we	161.567	161.651
terug	161.651	161.932
komen	161.932	162.162
kom	163.824	164.041
hier	164.148	164.305
kunnen	164.305	164.503
we	164.503	164.548
toch	164.548	164.727
niet	164.727	164.875
blijven	164.875	165.207
hallo	170.978	171.518
ik	210.78	210.897
heet	210.897	211.051
pippi	211.051	211.4029
en	211.667	211.801
dat	211.801	211.967
is	211.967	212.069
tommy	212.069	212.48
en	212.48	212.608
dat	212.608	212.77
annika	212.77	213.214
ik	276.764	276.935
wil	276.935	277.076
raden	277.076	277.349
wat	277.349	277.533
je	277.533	277.574
verkoopt	277.574	278.088
peterselie	278.646	279.178
mest	279.178	279.466
en	279.466	279.556
al	279.556	279.717
zulk	279.717	279.934
spul	279.934	280.214
waar	280.214	280.366
ouwe	280.366	280.562
tantes	280.64	281.001
in	281.001	281.171
trappen	281.206	281.687
hè	281.687	281.821
lang	334.48	334.675
kous	335.288	335.695
jo	336.35	336.484
le	336.484	337.236
tommie	342.145	342.563
annika	343.04	343.6
kijk	344.378	344.703
eens	344.703	345.019
ik	345.584	345.744
ben	345.744	345.882
hier	345.882	346.366
die	349.13	349.242
kleef	349.242	349.641
pasta	349.641	349.998
is	349.998	350.195
werkelijk	350.195	350.769
van	351.258	351.428
formaat	351.428	353.09
