item	onset	offset
pi	30.736	30.863
pi	30.863	31.106
wil	31.59	31.704
je	31.704	31.818
mee	31.818	31.964
ont	31.964	32.108
bij	32.108	32.322
te	32.322	32.49
nee	32.93	33.248
k	33.248	33.304
heb	33.304	33.448
al	33.448	33.574
drie	33.574	33.737
maal	33.737	33.943
ont	33.943	34.037
dag	34.037	34.144
be	34.144	34.194
an	34.194	34.258
e	34.258	34.299
ni	34.299	34.37
ka	34.37	34.6132
klei	34.939	35.147
ne	35.147	35.233
wit	35.233	35.41
je	35.41	35.479
dag	35.479	35.619
pap	35.619	35.857
wat	36.601	36.711
gaan	36.711	36.863
we	36.863	36.911
van	36.911	37.046
daag	37.046	37.226
doen	37.226	37.516
pi	37.516	37.626
pi	37.626	37.862
dat	38.072	38.275
kan	38.275	38.47
ik	38.47	38.684
ju	38.684	38.763
lie	38.763	38.916
heel	38.916	39.302
pre	39.302	39.465
cies	39.465	39.773
ze	39.773	39.965
gen	39.965	40.148
to	40.865	40.98
my	40.98	41.14
en	41.14	41.246
a	41.246	41.352
ni	41.352	41.507
ka	41.507	41.8134
wie	42.084	42.25
den	42.25	42.38
de	42.38	42.504
aard	42.587	42.879
bei	42.879	43.081
en	43.081	43.159
be	43.159	43.377
den	43.377	43.506
wat	44.003	44.395
a	44.679	44.789
le	44.789	44.924
aard	44.924	45.183
bei	45.183	45.424
en	45.424	45.489
be	45.489	45.706
den	45.706	45.88
net	47.279	47.449
nou	47.524	47.682
het	47.682	47.72
zo	47.72	47.905
fijn	47.905	48.172
weer	48.172	48.531
is	48.531	48.854
dat	48.935	49.046
ku	49.046	49.142
nen	49.142	49.213
we	49.213	49.283
toch	49.283	49.449
la	49.449	49.662
te	49.662	49.781
wel	49.781	49.93
doen	49.93	50.222
stel	50.671	50.957
niet	50.957	51.152
uit	51.152	51.389
tot	51.389	51.525
mor	51.525	51.749
gen	51.749	51.886
wat	51.886	52.038
je	52.038	52.142
van	52.142	52.358
daag	52.358	52.616
kunt	52.616	52.831
doen	52.831	52.908
wat	53.58	53.738
saai	53.738	54.202
ers	54.202	54.387
wist	54.387	54.574
je	54.574	54.629
ze	54.629	54.749
ker	54.749	54.84
niet	54.84	54.994
te	54.994	55.053
be	55.053	55.152
den	55.152	55.47
ken	55.47	55.6296
he	55.689	55.9107
