item	onset	offset
wat	44.003	44.395
alle	44.679	44.924
aarbeienbedden	44.924	45.88
net	47.279	47.449
nou	47.524	47.682
het	47.682	47.72
zo	47.72	47.905
fijn	47.905	48.172
weer	48.172	48.531
is	48.531	48.854
dat	48.935	49.046
kunnen	49.046	49.213
we	49.213	49.283
toch	49.283	49.449
later	49.449	49.781
wel	49.781	49.93
doen	49.93	50.222
die	92.825	92.945
kinderen	92.945	93.263
uit	93.263	93.418
dat	93.418	93.555
boek	93.555	93.741
die	93.741	93.872
weggelopen	93.872	94.423
waren	94.423	94.691
hadden	94.691	94.846
altijd	94.846	95.104
mooi	95.104	95.374
weer	95.374	95.6902
denk	155.133	155.385
je	155.385	155.44
dat	155.44	155.656
we	155.656	155.749
witje	155.749	156.071
terug	156.071	156.384
zullen	156.384	156.709
vinden	156.709	157.156
marskramer	237.053	237.752
hebt	237.752	237.972
u	237.972	238.038
gezegd	238.038	238.553
wat	238.553	238.733
is	238.733	238.873
dat	238.873	239.018
voor	239.018	239.183
een	239.183	239.32
vak	239.32	239.62
wat	273.766	273.94
voort	273.94	274.159
dingen	274.159	274.45
dan	274.45	274.744
laat	296.494	296.698
u	296.698	296.773
mij	296.773	296.864
ook	296.864	297.002
eens	297.002	297.189
proberen	297.189	297.588
