item	onset	offset
wil	31.59	31.704
ontbijten	31.966	32.49
heb	33.304	33.448
ontbeten	33.943	34.459
gaan	36.711	36.863
doen	37.226	37.516
kan	38.275	38.47
zeggen	39.773	40.148
wieden	42.084	42.38
is	48.531	48.854
kunnen	49.046	49.213
doen	49.93	50.222
stel	50.671	50.957
kunt	52.616	52.831
doen	52.831	52.908
wist	54.387	54.574
bedenken	55.053	55.6288
is	56.488	56.633
worden	57.752	57.957
verstikt	58.233	58.8032
laat	59.199	59.432
verstikken	59.611	60.1143
geloof	91.052	91.326
gaat	91.796	91.942
regenen	91.942	92.414
weggelopen	93.872	94.423
waren	94.423	94.691
hadden	94.691	94.846
moeten	100.903	101.121
gaan	101.644	101.748
slapen	101.748	102.334
zullen	103.826	104.035
vinden	104.566	104.8881
weet	107.045	107.288
ben	107.783	107.927
ligt	110.41	110.624
zijn	114.553	114.776
komen	116.153	116.62
zullen	152.2	152.344
komen	152.84	153.274
zullen	153.479	153.67
afwachten	153.78	154.13
heb	154.13	154.265
gezegd	154.322	154.675
denk	155.133	155.385
zullen	156.384	156.709
vinden	156.709	157.156
loopt	158.301	158.566
zet	159.734	159.954
krijgen	161.169	161.462
komen	161.932	162.162
kom	163.824	164.041
kunnen	164.305	164.503
blijven	164.875	165.207
ga	175.753	175.897
is	179.414	179.699
heet	210.897	211.051
is	211.967	212.069
schijnt	215.45	215.74
zijn	216.249	216.549
klopt	216.992	217.242
hoort	218.01	218.442
ben	219.55	219.634
is	226.481	226.603
kan	227.342	227.484
veranderen	227.868	228.26
hoef	230.032	230.228
zijn	230.744	231.007
ben	231.477	231.557
zou	232.379	232.518
doen	233.322	233.525
ben	234.151	234.321
doen	236.236	236.5152
hebt	237.752	237.972
gezegd	238.038	238.553
is	238.733	238.873
trek	270.574	270.736
verkoop	271.67	272.055
wil	276.935	277.076
raden	277.076	277.349
verkoopt	277.574	278.088
intrappen	281.001	281.687
weet	283.193	283.402
zal	284.276	284.447
zeggen	284.568	284.851
verkoop	285.099	285.482
is	286.257	286.393
blijft	289.733	290.018
handen	290.018	290.242
komt	290.559	290.861
lijmt	293.951	294.474
plakt	294.605	294.936
kit	295.153	295.495
laat	296.494	296.698
proberen	297.189	297.588
is	332.307	332.427
wist	332.427	332.629
was	333.924	334.059
is	334.059	334.181
kijk	344.378	344.703
ben	345.744	345.882
is	349.998	350.195
laat	353.569	353.773
drogen	354.082	354.516
blijf	354.629	354.862
hangen	355.236	355.58
moeten	356.046	356.335
komen	356.895	357.19
brengen	357.19	357.479
