item	onset	offset
pippi	30.736	31.106
wil	31.59	31.704
je	31.704	31.818
mee	31.818	31.966
ontbijten	31.966	32.49
nee	32.93	33.248
k	33.248	33.304
heb	33.304	33.448
al	33.448	33.574
driemaal	33.574	33.943
ontbeten	33.943	34.46
kleine	34.939	35.233
witje	35.233	35.479
dag	35.479	35.62
pap	35.62	35.857
wat	36.601	36.711
gaan	36.711	36.863
we	36.863	36.911
vandaag	36.911	37.226
doen	37.226	37.516
pippi	37.516	37.862
dat	38.072	38.275
kan	38.275	38.47
ik	38.47	38.684
jullie	38.684	38.916
heel	38.916	39.302
precies	39.302	39.773
zeggen	39.773	40.148
tommy	40.865	41.14
en	41.14	41.246
annika	41.246	41.8134
wieden	42.084	42.38
de	42.38	42.504
aarbeienbedden	42.587	43.506
wat	44.003	44.395
alle	44.679	44.924
aarbeienbedden	44.924	45.88
net	47.279	47.449
nou	47.524	47.682
het	47.682	47.72
zo	47.72	47.905
fijn	47.905	48.172
weer	48.172	48.531
is	48.531	48.854
dat	48.935	49.046
kunnen	49.046	49.213
we	49.213	49.283
toch	49.283	49.449
later	49.449	49.781
wel	49.781	49.93
doen	49.93	50.222
stel	50.671	50.957
niet	50.957	51.152
uit	51.152	51.376
tot	51.376	51.525
morgen	51.525	51.886
wat	51.886	52.038
je	52.038	52.142
vandaag	52.142	52.616
kunt	52.616	52.831
doen	52.831	52.908
wat	53.58	53.738
saaiers	53.739	54.387
wist	54.387	54.574
je	54.574	54.629
zeker	54.629	54.84
niet	54.84	54.993
te	54.993	55.053
bedenken	55.053	55.6296
hè	55.689	55.9107
het	56.341	56.488
is	56.488	56.633
de	56.633	56.724
hoogste	56.724	57.073
tijd	57.143	57.488
anders	57.488	57.752
worden	57.752	57.957
de	57.957	58.007
bedden	58.007	58.233
verstikt	58.233	58.8024
noú	58.932	59.039
dan	59.039	59.199
laat	59.199	59.432
je	59.432	59.47
ze	59.47	59.611
verstikken	59.611	60.1143
ik	90.943	91.052
geloof	91.052	91.326
dat	91.326	91.428
het	91.428	91.476
dadelijk	91.476	91.796
gaat	91.796	91.942
regenen	91.942	92.414
die	92.825	92.945
kinderen	92.945	93.263
uit	93.263	93.418
dat	93.418	93.555
boek	93.555	93.741
die	93.741	93.872
weggelopen	93.872	94.423
waren	94.423	94.691
hadden	94.691	94.846
altijd	94.846	95.104
mooi	95.104	95.374
weer	95.374	95.6902
waar	100.823	100.903
moeten	100.903	101.121
we	101.121	101.241
vannacht	101.241	101.644
gaan	101.644	101.748
slapen	101.748	102.334
we	103.718	103.826
zullen	103.826	104.035
wel	104.035	104.153
ergens	104.153	104.43
wat	104.43	104.566
vinden	104.566	104.8889
je	106.955	107.045
weet	107.045	107.288
toch	107.288	107.556
ik	107.634	107.783
ben	107.783	107.927
een	107.927	108.007
geluksvogel	108.007	108.8413
achter	109.605	109.858
die	109.858	110.029
heuvel	110.029	110.41
ligt	110.41	110.624
waarschijnlijk	110.624	111.105
een	111.105	111.192
heel	111.192	111.484
erg	111.484	111.715
mooi	111.715	111.92
slot	111.92	112.4901
en	113.34	113.444
de	113.444	113.511
graaf	113.511	113.993
en	113.993	114.089
gravin	114.089	114.553
zijn	114.553	114.776
reuzeblij	114.776	115.8377
dat	115.8377	116.08
we	116.08	116.153
komen	116.153	116.62
pippi	150.359	150.7185
zonder	151.631	151.901
paard	151.901	152.2
zullen	152.2	152.344
we	152.344	152.429
niet	152.429	152.624
ver	152.624	152.84
komen	152.84	153.274
we	153.409	153.479
zullen	153.479	153.67
maar	153.67	153.78
afwachten	153.78	154.13
heb	154.13	154.265
ik	154.265	154.322
gezegd	154.322	154.675
denk	155.133	155.385
je	155.385	155.44
dat	155.44	155.656
we	155.656	155.749
witje	155.749	156.071
terug	156.071	156.384
zullen	156.384	156.709
vinden	156.709	157.156
welnee	157.603	158.196
die	158.196	158.301
loopt	158.301	158.566
terug	158.566	158.736
naar	158.736	158.821
vila	158.821	159.056
kakelbont	159.056	159.672
en	159.672	159.734
zet	159.734	159.954
koffie	159.954	160.289
zodat	160.289	160.602
we	160.602	160.796
warms	160.796	161.169
krijgen	161.169	161.462
als	161.462	161.567
we	161.567	161.651
terug	161.651	161.932
komen	161.932	162.162
kom	163.824	164.041
hier	164.148	164.305
kunnen	164.305	164.503
we	164.503	164.548
toch	164.548	164.727
niet	164.727	164.875
blijven	164.875	165.207
hallo	170.978	171.518
halloo	173.274	173.805
welkom	174.694	175.269
ga	175.753	175.897
op	175.897	176.037
het	176.037	176.159
bankstel	176.159	176.6531
of	177.214	177.437
in	177.437	177.577
één	177.577	177.716
van	177.716	177.873
de	177.873	177.945
vele	177.945	178.185
luie	178.185	178.439
stoelen	178.439	178.756
als	178.756	178.926
je	178.926	178.983
dat	178.983	179.138
liever	179.138	179.414
is	179.414	179.699
ik	210.78	210.897
heet	210.897	211.051
pippi	211.051	211.4029
en	211.667	211.801
dat	211.801	211.967
is	211.967	212.069
tommy	212.069	212.48
en	212.48	212.608
dat	212.608	212.77
annika	212.77	213.214
wauuww	213.353	213.599
ook	213.599	213.849
mooie e	213.849	214.066
namen	214.066	214.384
annika	215.047	215.45
schijnt	215.45	215.74
nogal	215.74	215.93
bang	215.93	216.143
te	216.143	216.249
zijn	216.249	216.549
haar	216.675	216.829
hart	216.829	216.992
klopt	216.992	217.242
zo	217.242	217.459
luid	217.459	217.728
dat	217.728	217.838
jet	217.838	218.01
hoort	218.01	218.442
waarom	219.345	219.55
ben	219.55	219.634
je	219.634	219.725
bang	219.725	219.971
voor	220.178	220.327
het	220.327	220.382
onweer	220.382	220.914
of	221.017	221.131
voor	221.131	221.279
mij	221.279	221.502
voor	224.4447	224.552
alle	224.552	224.781
twee	224.969	225.4313
jaaa	225.712	225.976
dat	225.976	226.121
onweer	226.121	226.481
is	226.481	226.603
iets	226.603	226.741
aparts	226.741	227.225
daar	227.225	227.342
kan	227.342	227.484
ik	227.484	227.601
niks	227.601	227.791
aan	227.791	227.868
veranderen	227.868	228.26
maar	229.282	229.496
voor	229.587	229.775
mij	229.775	230.032
hoef	230.032	230.215
je	230.215	230.258
niet	230.258	230.418
bang	230.418	230.625
te	230.625	230.744
zijn	230.744	231.007
ik	231.348	231.477
ben	231.477	231.557
marskramer	231.557	232.251
en	232.251	232.308
ik	232.308	232.379
zou	232.379	232.518
geen	232.518	232.666
vlieg	232.666	232.981
kwaad	232.981	233.322
