name	x	y	z	size	impedance
P01	-49.895	-63.538	34.958	0.000	0.000
P02	-55.895	-54.538	32.958	0.000	0.000
P03	-59.895	-47.538	29.958	0.000	0.000
P04	-63.895	-38.538	25.958	0.000	0.000
P05	-67.895	-29.538	21.958	0.000	0.000
P06	-68.895	-18.538	17.958	0.000	0.000
P07	-68.895	-8.538	12.958	0.000	0.000
P08	-68.895	0.462	7.958	0.000	0.000
P09	-49.895	-59.538	44.958	0.000	0.000
P10	-55.895	-51.538	42.958	0.000	0.000
P11	-59.895	-43.538	38.958	0.000	0.000
P12	-62.895	-35.538	34.958	0.000	0.000
P13	-66.895	-24.538	30.958	0.000	0.000
P14	-68.895	-14.538	26.958	0.000	0.000
P15	-68.895	-4.538	20.958	0.000	0.000
P16	-66.895	4.462	17.958	0.000	0.000
P17	-47.895	-55.538	54.958	0.000	0.000
P18	-53.895	-47.538	51.958	0.000	0.000
P19	-57.895	-39.538	48.958	0.000	0.000
P20	-62.895	-30.538	44.958	0.000	0.000
P21	-64.895	-21.538	40.958	0.000	0.000
P22	-66.895	-10.538	35.958	0.000	0.000
P23	-64.895	-0.538	29.958	0.000	0.000
P24	-63.895	9.462	25.958	0.000	0.000
P25	-42.895	-50.538	62.958	0.000	0.000
P26	-50.895	-43.538	60.958	0.000	0.000
P27	-55.895	-34.538	58.958	0.000	0.000
P28	-58.895	-25.538	55.958	0.000	0.000
P29	-63.895	-16.538	50.958	0.000	0.000
P30	-66.895	-6.538	44.958	0.000	0.000
P31	-65.895	4.462	39.958	0.000	0.000
P32	-63.895	13.462	33.958	0.000	0.000
P33	-36.895	-45.538	68.958	0.000	0.000
P34	-43.895	-37.538	66.958	0.000	0.000
P35	-49.895	-29.538	66.958	0.000	0.000
P36	-54.895	-22.538	63.958	0.000	0.000
P37	-59.895	-13.538	59.958	0.000	0.000
P38	-62.895	-1.538	53.958	0.000	0.000
P39	-63.895	9.462	48.958	0.000	0.000
P40	-61.895	18.462	42.958	0.000	0.000
P41	-32.895	-40.538	76.958	0.000	0.000
P42	-38.895	-31.538	74.958	0.000	0.000
P43	-45.895	-24.538	73.958	0.000	0.000
P44	-50.895	-16.538	71.958	0.000	0.000
P45	-54.895	-7.538	67.958	0.000	0.000
P46	-57.895	3.462	61.958	0.000	0.000
P47	-58.895	13.462	56.958	0.000	0.000
P48	-57.895	21.462	51.958	0.000	0.000
Fb49	-34.895	85.462	17.958	0.000	0.000
Fb50	-41.895	78.462	17.958	0.000	0.000
Fb51	-47.895	70.462	19.958	0.000	0.000
Fb52	-51.895	62.462	22.958	0.000	0.000
Fb53	-50.895	52.462	26.958	0.000	0.000
Fb54	-39.895	43.462	30.958	0.000	0.000
Fb55	-56.895	35.462	34.958	0.000	0.000
Fb56	-58.895	27.462	39.958	0.000	0.000
Fb57	-30.895	80.462	10.958	0.000	0.000
Fb58	-37.895	73.462	10.958	0.000	0.000
Fb59	-44.895	66.462	11.958	0.000	0.000
Fb60	-49.895	57.462	12.958	0.000	0.000
Fb61	-50.895	48.462	17.958	0.000	0.000
Fb62	-49.895	38.462	20.958	0.000	0.000
Fb63	-57.895	31.462	25.958	0.000	0.000
Fb64	-60.895	23.462	30.958	0.000	0.000
vT1	17.105	43.462	-0.042	0.000	0.000
vT2	7.105	43.462	-2.042	0.000	0.000
vT3	-2.895	43.462	-2.042	0.000	0.000
vT4	-12.895	43.462	-0.042	0.000	0.000
vT5	-22.895	44.462	0.958	0.000	0.000
vT6	-30.895	48.462	0.958	0.000	0.000
vT7	-43.895	49.462	4.958	0.000	0.000
vT8	-51.895	40.462	14.958	0.000	0.000
sT1	-17.895	26.462	-7.042	0.000	0.000
sT2	-20.895	21.462	-15.042	0.000	0.000
sT3	-26.895	18.462	-21.042	0.000	0.000
sT4	-36.895	15.462	-23.042	0.000	0.000
sT5	-46.895	14.462	-22.042	0.000	0.000
sT6	-54.895	14.462	-18.042	0.000	0.000
sT7	-60.895	16.462	-11.042	0.000	0.000
sT8	-64.895	16.462	0.958	0.000	0.000
T01	-50.895	44.462	4.958	0.000	0.000
T02	-54.895	37.462	10.958	0.000	0.000
T03	-58.895	28.462	15.958	0.000	0.000
T04	-61.895	20.462	20.958	0.000	0.000
T05	-52.895	39.462	-4.042	0.000	0.000
T06	-57.895	32.462	1.958	0.000	0.000
T07	-61.895	24.462	8.958	0.000	0.000
T08	-64.895	15.462	12.958	0.000	0.000
F01	-37.895	81.462	32.958	0.000	0.000
F02	-41.895	75.462	38.958	0.000	0.000
F03	-44.895	67.462	44.958	0.000	0.000
F04	-47.895	58.462	48.958	0.000	0.000
F05	-49.895	48.462	52.958	0.000	0.000
F06	-50.895	39.462	56.958	0.000	0.000
F07	-50.895	29.462	59.958	0.000	0.000
F08	-50.895	21.462	62.958	0.000	0.000
F09	-41.895	80.462	25.958	0.000	0.000
F10	-46.895	72.462	30.958	0.000	0.000
F11	-48.895	64.462	35.958	0.000	0.000
F12	-51.895	54.462	40.958	0.000	0.000
F13	-52.895	45.462	44.958	0.000	0.000
F14	-54.895	36.462	46.958	0.000	0.000
F15	-54.895	27.462	51.958	0.000	0.000
F16	-56.895	19.462	55.958	0.000	0.000
