name	x	y	z	size
T01	49.959	36.175	-10.233	n/a
T02	55.959	28.175	-8.233	n/a
T03	58.959	19.175	-7.233	n/a
T04	61.959	7.175	-4.233	n/a
T05	63.959	-1.825	-2.233	n/a
T06	63.959	-12.825	0.767	n/a
T07	62.959	-22.825	2.767	n/a
T08	60.959	-31.825	4.767	n/a
T09	49.959	37.175	0.767	n/a
T10	54.959	29.175	2.767	n/a
T11	60.959	20.175	3.767	n/a
T12	62.959	10.175	5.767	n/a
T13	64.959	0.175	7.767	n/a
T14	64.959	-10.825	9.767	n/a
T15	62.959	-19.825	11.767	n/a
T16	60.959	-29.825	14.767	n/a
T17	49.959	39.175	10.767	n/a
T18	54.959	30.175	11.767	n/a
T19	58.959	23.175	13.767	n/a
T20	62.959	11.175	15.767	n/a
T21	63.959	2.175	18.767	n/a
T22	63.959	-7.825	19.767	n/a
T23	63.959	-17.825	21.767	n/a
T24	61.959	-28.825	23.767	n/a
T25	51.959	42.175	19.767	n/a
T26	54.959	31.175	20.767	n/a
T27	58.959	22.175	22.767	n/a
T28	60.959	14.175	24.767	n/a
T29	62.959	4.175	26.767	n/a
T30	62.959	-5.825	28.767	n/a
T31	63.959	-15.825	30.767	n/a
T32	62.959	-25.825	33.767	n/a
P33	14.959	-46.825	74.767	n/a
P34	25.959	-46.825	72.767	n/a
P35	32.959	-44.825	67.767	n/a
P36	41.959	-41.825	62.767	n/a
P37	47.959	-38.825	56.767	n/a
P38	55.959	-35.825	50.767	n/a
P39	60.959	-29.825	42.767	n/a
P40	62.959	-24.825	34.767	n/a
P41	14.959	-55.825	70.767	n/a
P42	24.959	-53.825	66.767	n/a
P43	31.959	-52.825	62.767	n/a
P44	40.959	-50.825	58.767	n/a
P45	48.959	-45.825	52.767	n/a
P46	55.959	-42.825	44.767	n/a
P47	58.959	-37.825	37.767	n/a
P48	60.959	-31.825	28.767	n/a
Oc49	8.959	-86.825	10.767	n/a
Oc50	18.959	-82.825	12.767	n/a
Oc51	26.959	-76.825	14.767	n/a
Oc52	32.959	-71.825	16.767	n/a
Oc53	41.959	-63.825	17.767	n/a
Oc54	47.959	-56.825	18.767	n/a
Oc55	52.959	-48.825	18.767	n/a
Oc56	58.959	-38.825	20.767	n/a
Oc57	10.959	-86.825	0.767	n/a
Oc58	20.959	-82.825	3.767	n/a
Oc59	28.959	-77.825	5.767	n/a
Oc60	35.959	-70.825	7.767	n/a
Oc61	42.959	-63.825	8.767	n/a
Oc62	48.959	-55.825	9.767	n/a
Oc63	52.959	-47.825	9.767	n/a
Oc64	57.959	-38.825	10.767	n/a
vT1	24.041	-7.825	-7.233	n/a
vT2	23.041	1.175	-9.233	n/a
vT3	22.041	11.175	-10.233	n/a
vT4	20.041	20.175	-11.233	n/a
vT5	20.959	37.175	-20.233	n/a
vT6	24.959	45.175	-14.233	n/a
vT7	32.959	47.175	-6.233	n/a
vT8	39.959	45.175	-0.233	n/a
aT1	-4.959	15.175	0.767	n/a
aT2	4.041	18.175	-1.233	n/a
aT3	13.041	21.175	-5.233	n/a
aT4	21.041	23.175	-11.233	n/a
aT5	24.959	32.175	-24.233	n/a
aT6	36.959	31.175	-24.233	n/a
aT7	43.959	33.175	-20.233	n/a
aT8	51.959	33.175	-10.233	n/a
sTv1	3.041	25.175	-3.233	n/a
sTv2	11.041	20.175	-4.233	n/a
sTv3	19.041	17.175	-11.233	n/a
sTv4	25.959	7.175	-24.233	n/a
sTv5	36.959	8.175	-24.233	n/a
sTv6	46.959	8.175	-22.233	n/a
sTv7	56.959	14.175	-15.233	n/a
sTv8	58.959	19.175	-7.233	n/a
sTa1	35.041	-29.825	-11.233	n/a
sTa2	46.041	-28.825	-13.233	n/a
sTa3	56.959	-27.825	-11.233	n/a
sTa4	60.959	-24.825	-2.233	n/a
sTa5	35.041	-19.825	-11.233	n/a
sTa6	45.041	-18.825	-14.233	n/a
sTa7	56.959	-17.825	-14.233	n/a
sTa8	61.959	-14.825	-6.233	n/a
