name	x	y	z	size	material	hemisphere	impedance
AIL1	-32.237	29.398	-25.857	0.000	Platinum	L	0.000
AIL2	-31.330	30.205	-23.081	0.000	Platinum	L	0.000
AIL3	-30.451	31.154	-19.464	0.000	Platinum	L	0.000
AIL4	-29.555	32.543	-15.637	0.000	Platinum	L	0.000
AIL5	-28.161	33.322	-12.841	0.000	Platinum	L	0.000
AIL6	-27.265	34.711	-9.014	0.000	Platinum	L	0.000
AIL7	-26.861	35.106	-6.469	0.000	Platinum	L	0.000
AIL8	-25.937	36.354	-3.484	0.000	Platinum	L	0.000
AIL9	-24.554	37.714	0.364	0.000	Platinum	L	0.000
AIL10	-23.188	38.634	4.002	0.000	Platinum	L	0.000
AIL11	-22.281	39.441	6.777	0.000	Platinum	L	0.000
AIL12	-21.878	39.837	9.322	0.000	Platinum	L	0.000
AIL13	-20.948	42.107	13.569	0.000	Platinum	L	0.000
AIL14	-19.598	42.586	16.996	0.000	Platinum	L	0.000
AIL15	-18.702	43.975	20.823	0.000	Platinum	L	0.000
ACL1	-5.822	43.371	5.152	0.000	Platinum	L	0.000
ACL2	-9.304	43.414	6.478	0.000	Platinum	L	0.000
ACL3	-13.777	43.075	7.551	0.000	Platinum	L	0.000
ACL4	-16.240	43.360	8.287	0.000	Platinum	L	0.000
ACL5	-19.721	43.404	9.613	0.000	Platinum	L	0.000
ACL6	-23.203	43.447	10.938	0.000	Platinum	L	0.000
ACL7	-26.215	43.021	12.075	0.000	Platinum	L	0.000
ACL8	-29.713	42.624	13.191	0.000	Platinum	L	0.000
ACL9	-32.708	42.639	14.537	0.000	Platinum	L	0.000
ACL10	-36.694	42.271	15.632	0.000	Platinum	L	0.000
ACL11	-39.688	42.286	16.978	0.000	Platinum	L	0.000
ACL12	-43.187	41.889	18.093	0.000	Platinum	L	0.000
IPL1	-36.179	12.624	-25.547	0.000	Platinum	L	0.000
IPL2	-35.419	10.489	-23.399	0.000	Platinum	L	0.000
IPL3	-35.145	8.383	-21.273	0.000	Platinum	L	0.000
IPL4	-34.385	6.248	-19.126	0.000	Platinum	L	0.000
IPL5	-33.669	3.814	-16.347	0.000	Platinum	L	0.000
IPL6	-32.987	0.499	-13.989	0.000	Platinum	L	0.000
IPL7	-32.272	-1.935	-11.210	0.000	Platinum	L	0.000
IPL8	-31.511	-4.071	-9.063	0.000	Platinum	L	0.000
IPL9	-30.812	-6.945	-6.494	0.000	Platinum	L	0.000
IPL10	-30.052	-9.080	-4.347	0.000	Platinum	L	0.000
IPL11	-29.779	-11.187	-2.221	0.000	Platinum	L	0.000
IPL12	-28.089	-13.678	0.600	0.000	Platinum	L	0.000
IPL13	-28.319	-16.196	2.495	0.000	Platinum	L	0.000
IPL14	-27.649	-18.930	5.905	0.000	Platinum	L	0.000
IPL15	-26.950	-21.804	8.473	0.000	Platinum	L	0.000
FOL1	-28.703	33.963	0.620	0.000	Platinum	L	0.000
FOL2	-32.146	33.284	0.053	0.000	Platinum	L	0.000
FOL3	-35.572	33.044	-0.304	0.000	Platinum	L	0.000
FOL4	-38.981	33.246	-0.451	0.000	Platinum	L	0.000
FOL5	-42.390	33.447	-0.598	0.000	Platinum	L	0.000
FOL6	-46.303	33.236	-0.976	0.000	Platinum	L	0.000
FOL7	-49.728	32.997	-1.333	0.000	Platinum	L	0.000
FOL8	-53.182	32.900	-0.848	0.000	Platinum	L	0.000
COL1	-42.997	11.060	-5.815	0.000	Platinum	L	0.000
COL2	-46.434	11.403	-5.121	0.000	Platinum	L	0.000
COL3	-49.905	10.865	-4.846	0.000	Platinum	L	0.000
COL4	-53.376	10.327	-4.572	0.000	Platinum	L	0.000
COL5	-56.801	10.087	-4.929	0.000	Platinum	L	0.000
COL6	-60.272	9.549	-4.655	0.000	Platinum	L	0.000
COL7	-63.256	8.982	-4.359	0.000	Platinum	L	0.000
COL8	-67.701	8.501	-4.127	0.000	Platinum	L	0.000
POL1	-39.342	-16.965	-4.087	0.000	Platinum	L	0.000
POL2	-42.823	-16.922	-2.761	0.000	Platinum	L	0.000
