name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
AIL1	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL2	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL3	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL4	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL5	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL6	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL7	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL8	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL9	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL10	SEEG	µV	0.000	0.150	G2	AIL	0.000	bad	noisy	2048.000
AIL11	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL12	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL13	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL14	SEEG	µV	0.000	0.150	G2	AIL	0.000	good	n/a	2048.000
AIL15	SEEG	µV	0.000	0.150	G2	AIL	0.000	bad	noisy	2048.000
ACL1	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL2	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL3	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL4	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL5	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL6	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL7	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL8	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL9	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL10	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL11	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ACL12	SEEG	µV	0.000	0.150	G2	ACL	0.000	good	n/a	2048.000
ORB+	EOG	µV	0.000	0.150	ORB-	n/a	0.000	good	n/a	2048.000
ECG+	ECG	µV	0.000	0.150	ECG-	n/a	0.000	good	n/a	2048.000
IPL1	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL2	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL3	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL4	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL5	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL6	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL7	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL8	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL9	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL10	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL11	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL12	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL13	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL14	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
IPL15	SEEG	µV	0.000	0.150	G2	IPL	0.000	good	n/a	2048.000
FOL1	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL2	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL3	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL4	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL5	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL6	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL7	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
FOL8	SEEG	µV	0.000	0.150	G2	FOL	0.000	good	n/a	2048.000
COL1	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL2	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL3	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL4	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL5	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL6	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL7	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
COL8	SEEG	µV	0.000	0.150	G2	COL	0.000	good	n/a	2048.000
MKR1+	TRIG	µV	0.000	0.000	MKR1-	n/a	0.000	bad	None	2048.000
POL1	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL2	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL3	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL4	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL5	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL6	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL7	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL8	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL9	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
POL10	SEEG	µV	0.000	0.150	G2	POL	0.000	good	n/a	2048.000
PCL1	SEEG	µV	0.000	0.150	G2	PCL	0.000	good	n/a	2048.000
PCL2	SEEG	µV	0.000	0.150	G2	PCL	0.000	good	n/a	2048.000
PCL3	SEEG	µV	0.000	0.150	G2	PCL	0.000	good	n/a	2048.000
