name	x	y	z	size	group	hemisphere
T01	-46.435	40.101	-22.716	n/a	T	L
T02	-51.435	31.101	-18.716	n/a	T	L
T03	-55.435	22.101	-13.716	n/a	T	L
T04	-58.435	13.101	-9.716	n/a	T	L
T05	-60.435	5.101	-4.716	n/a	T	L
T06	-60.435	-5.899	-0.716	n/a	T	L
T07	-57.435	-13.899	4.284	n/a	T	L
T08	-56.435	-22.899	9.284	n/a	T	L
T09	-47.435	33.101	-31.716	n/a	T	L
T10	-53.435	25.101	-26.716	n/a	T	L
T11	-56.435	18.101	-22.716	n/a	T	L
T12	-59.435	9.101	-17.716	n/a	T	L
T13	-60.435	-1.899	-13.716	n/a	T	L
T14	-59.435	-9.899	-9.716	n/a	T	L
T15	-59.435	-18.899	-3.716	n/a	T	L
T16	-58.435	-27.899	1.284	n/a	T	L
T17	-46.435	28.101	-40.716	n/a	T	L
T18	-51.435	20.101	-35.716	n/a	T	L
T19	-57.435	12.101	-31.716	n/a	T	L
T20	-58.435	4.101	-26.716	n/a	T	L
T21	-60.435	-5.899	-22.716	n/a	T	L
T22	-60.435	-14.899	-17.716	n/a	T	L
T23	-60.435	-24.899	-12.716	n/a	T	L
T24	-57.435	-32.899	-8.716	n/a	T	L
T25	-48.435	24.101	-49.716	n/a	T	L
T26	-52.435	14.101	-44.716	n/a	T	L
T27	-56.435	6.101	-41.716	n/a	T	L
T28	-58.435	-1.899	-35.716	n/a	T	L
T29	-59.435	-10.899	-31.716	n/a	T	L
T30	-60.435	-19.899	-26.716	n/a	T	L
T31	-59.435	-28.899	-20.716	n/a	T	L
T32	-56.435	-37.899	-16.716	n/a	T	L
AT33	-21.435	-73.899	-18.716	n/a	AT	L
AT34	-28.435	-69.899	-15.716	n/a	AT	L
AT35	-33.435	-65.899	-17.716	n/a	AT	L
AT36	-38.435	-59.899	-19.716	n/a	AT	L
AT37	-46.435	-51.899	-20.716	n/a	AT	L
AT38	-52.435	-43.899	-21.716	n/a	AT	L
AT39	-56.435	-33.899	-23.716	n/a	AT	L
AT40	-59.435	-24.899	-22.716	n/a	AT	L
AT41	-21.435	-70.899	-7.716	n/a	AT	L
AT42	-29.435	-68.899	-9.716	n/a	AT	L
AT43	-34.435	-65.899	-9.716	n/a	AT	L
AT44	-39.435	-58.899	-9.716	n/a	AT	L
AT45	-47.435	-50.899	-10.716	n/a	AT	L
AT46	-53.435	-42.899	-11.716	n/a	AT	L
AT47	-57.435	-34.899	-12.716	n/a	AT	L
AT48	-60.435	-24.899	-13.716	n/a	AT	L
P49	-19.435	-14.899	47.284	n/a	P	L
P50	-26.435	-19.899	41.284	n/a	P	L
P51	-33.435	-24.899	38.284	n/a	P	L
P52	-38.435	-29.899	34.284	n/a	P	L
P53	-40.435	-34.899	27.284	n/a	P	L
P54	-42.435	-38.899	21.284	n/a	P	L
P55	-45.435	-44.899	12.284	n/a	P	L
P56	-48.435	-48.899	2.284	n/a	P	L
P57	-25.435	-6.899	45.284	n/a	P	L
P58	-31.435	-11.899	41.284	n/a	P	L
P59	-39.435	-17.899	36.284	n/a	P	L
P60	-44.435	-21.899	32.284	n/a	P	L
P61	-44.435	-26.899	24.284	n/a	P	L
P62	-50.435	-32.899	16.284	n/a	P	L
P63	-53.435	-36.899	9.284	n/a	P	L
P64	-52.435	-41.899	0.284	n/a	P	L
sTv1	-12.435	-2.899	-48.716	n/a	sTv	L
sTv2	-18.435	4.101	-54.716	n/a	sTv	L
sTv3	-20.435	15.101	-59.716	n/a	sTv	L
sTv4	-30.435	29.101	-56.716	n/a	sTv	L
sTv5	-41.435	34.101	-46.716	n/a	sTv	L
sTv6	-42.435	37.101	-37.716	n/a	sTv	L
sTv7	-44.435	35.101	-28.716	n/a	sTv	L
sTv8	-47.435	34.101	-21.716	n/a	sTv	L
sTa1	-9.500	-37.500	-22.550	n/a	sTa	L
sTa2	-13.500	-32.500	-30.250	n/a	sTa	L
sTa3	-18.500	-26.500	-35.750	n/a	sTa	L
sTa4	-25.500	-20.500	-41.250	n/a	sTa	L
sTa5	-33.500	-14.500	-42.350	n/a	sTa	L
sTa6	-41.500	-8.500	-42.350	n/a	sTa	L
sTa7	-49.500	-3.500	-43.450	n/a	sTa	L
sTa8	-54.500	6.500	-40.150	n/a	sTa	L
sOc1	-6.500	-46.500	-9.350	n/a	sOc	L
sOc2	-7.500	-44.500	-18.150	n/a	sOc	L
sOc3	-11.500	-43.500	-28.050	n/a	sOc	L
sOc4	-18.500	-42.500	-34.650	n/a	sOc	L
sOc5	-27.500	-41.500	-39.050	n/a	sOc	L
sOc6	-36.500	-41.500	-42.350	n/a	sOc	L
sOc7	-45.500	-39.500	-41.250	n/a	sOc	L
sOc8	-52.500	-36.500	-35.750	n/a	sOc	L
