name	x	y	z	size	manufacturer
chan1	-66.519	-1.895	-22.656	0.785	PMT (Chanhassen, MN)
chan2	-66.661	-3.518	-20.930	0.785	PMT (Chanhassen, MN)
chan3	-66.603	-5.514	-18.303	0.785	PMT (Chanhassen, MN)
chan4	-66.464	-7.134	-15.671	0.785	PMT (Chanhassen, MN)
chan5	-66.153	-9.222	-13.276	0.785	PMT (Chanhassen, MN)
chan6	-65.668	-11.330	-11.031	0.785	PMT (Chanhassen, MN)
chan7	-65.301	-12.996	-9.341	0.785	PMT (Chanhassen, MN)
chan8	-64.728	-15.121	-6.728	0.785	PMT (Chanhassen, MN)
chan9	-64.159	-16.689	-5.024	0.785	PMT (Chanhassen, MN)
chan10	-63.062	-19.155	-2.774	0.785	PMT (Chanhassen, MN)
chan11	-62.142	-20.777	-0.881	0.785	PMT (Chanhassen, MN)
chan12	-60.916	-23.187	1.633	0.785	PMT (Chanhassen, MN)
chan13	-59.930	-25.512	3.199	0.785	PMT (Chanhassen, MN)
chan14	-58.095	-27.470	6.111	0.785	PMT (Chanhassen, MN)
chan15	-56.993	-29.873	7.497	0.785	PMT (Chanhassen, MN)
chan16	-54.860	-31.755	10.093	0.785	PMT (Chanhassen, MN)
chan17	-65.971	1.006	-21.215	0.785	PMT (Chanhassen, MN)
chan18	-66.263	-1.506	-18.896	0.785	PMT (Chanhassen, MN)
chan19	-66.194	-3.110	-16.213	0.785	PMT (Chanhassen, MN)
chan20	-66.115	-5.110	-13.489	0.785	PMT (Chanhassen, MN)
chan21	-65.677	-7.270	-11.285	0.785	PMT (Chanhassen, MN)
chan22	-65.337	-8.876	-9.716	0.785	PMT (Chanhassen, MN)
chan23	-64.746	-10.481	-7.048	0.785	PMT (Chanhassen, MN)
chan24	-63.969	-12.943	-4.442	0.785	PMT (Chanhassen, MN)
chan25	-63.174	-14.580	-2.796	0.785	PMT (Chanhassen, MN)
chan26	-62.093	-17.100	-0.585	0.785	PMT (Chanhassen, MN)
chan27	-61.233	-18.784	1.178	0.785	PMT (Chanhassen, MN)
chan28	-59.807	-21.177	3.745	0.785	PMT (Chanhassen, MN)
chan29	-58.683	-22.785	5.496	0.785	PMT (Chanhassen, MN)
chan30	-57.533	-24.994	7.245	0.785	PMT (Chanhassen, MN)
chan31	-55.575	-27.575	9.848	0.785	PMT (Chanhassen, MN)
chan32	-53.863	-29.200	11.505	0.785	PMT (Chanhassen, MN)
chan33	-65.564	2.900	-19.319	0.785	PMT (Chanhassen, MN)
chan34	-65.750	0.920	-16.626	0.785	PMT (Chanhassen, MN)
chan35	-65.695	-0.717	-13.988	0.785	PMT (Chanhassen, MN)
