name	x	y	z	size	material	manufacturer
IH01	6.153	-55.631	8.419	4.155	Platinum	AdTech
IH02	5.153	-45.631	10.419	4.155	Platinum	AdTech
IH03	3.153	-35.631	12.419	4.155	Platinum	AdTech
IH04	2.153	-26.631	15.419	4.155	Platinum	AdTech
IH05	1.153	-16.631	17.419	4.155	Platinum	AdTech
IH06	-0.847	-6.631	20.419	4.155	Platinum	AdTech
IH07	-0.847	2.369	22.419	4.155	Platinum	AdTech
IH08	-2.847	12.369	25.419	4.155	Platinum	AdTech
IH09	6.153	-52.631	-1.581	4.155	Platinum	AdTech
IH10	4.153	-43.631	0.419	4.155	Platinum	AdTech
IH11	2.153	-33.631	3.419	4.155	Platinum	AdTech
IH12	2.153	-23.631	5.419	4.155	Platinum	AdTech
IH13	1.153	-13.631	8.419	4.155	Platinum	AdTech
IH14	-0.847	-4.631	10.419	4.155	Platinum	AdTech
IH15	-0.847	5.369	13.419	4.155	Platinum	AdTech
IH16	-2.847	14.369	15.419	4.155	Platinum	AdTech
P01	-21.846	-85.631	-8.581	4.155	Platinum	AdTech
P02	-21.846	-81.631	0.419	4.155	Platinum	AdTech
P03	-20.846	-77.631	10.419	4.155	Platinum	AdTech
P04	-17.846	-68.631	15.419	4.155	Platinum	AdTech
P05	-12.847	-85.631	-9.581	4.155	Platinum	AdTech
P06	-10.847	-83.631	-0.581	4.155	Platinum	AdTech
P07	-8.847	-77.631	9.419	4.155	Platinum	AdTech
P08	-8.847	-70.631	16.419	4.155	Platinum	AdTech
C01	-40.846	-61.631	7.419	4.155	Platinum	AdTech
C02	-42.846	-52.631	13.419	4.155	Platinum	AdTech
C03	-44.846	-43.631	19.419	4.155	Platinum	AdTech
C04	-44.846	-32.631	20.419	4.155	Platinum	AdTech
C05	-43.846	-21.631	21.419	4.155	Platinum	AdTech
C06	-43.846	-12.631	23.419	4.155	Platinum	AdTech
C07	-41.846	-2.631	21.419	4.155	Platinum	AdTech
C08	-40.846	7.369	22.419	4.155	Platinum	AdTech
C09	-33.846	-63.631	15.419	4.155	Platinum	AdTech
C10	-33.846	-53.631	18.419	4.155	Platinum	AdTech
C11	-35.846	-44.631	24.419	4.155	Platinum	AdTech
C12	-36.846	-34.631	27.419	4.155	Platinum	AdTech
C13	-34.846	-24.631	26.419	4.155	Platinum	AdTech
C14	-34.846	-13.631	28.419	4.155	Platinum	AdTech
C15	-33.846	-2.631	29.419	4.155	Platinum	AdTech
C16	-30.846	7.369	27.419	4.155	Platinum	AdTech
C17	-23.846	-63.631	18.419	4.155	Platinum	AdTech
C18	-24.846	-55.631	24.419	4.155	Platinum	AdTech
C19	-24.846	-45.631	26.419	4.155	Platinum	AdTech
C20	-26.846	-36.631	32.419	4.155	Platinum	AdTech
C21	-25.846	-24.631	31.419	4.155	Platinum	AdTech
C22	-25.846	-14.631	34.419	4.155	Platinum	AdTech
C23	-23.846	-3.631	34.419	4.155	Platinum	AdTech
C24	-21.846	6.369	32.419	4.155	Platinum	AdTech
C25	-12.847	-63.631	21.419	4.155	Platinum	AdTech
C26	-12.847	-57.631	26.419	4.155	Platinum	AdTech
C27	-14.847	-46.631	30.419	4.155	Platinum	AdTech
C28	-12.847	-36.631	33.419	4.155	Platinum	AdTech
C29	-15.847	-26.631	35.419	4.155	Platinum	AdTech
C30	-13.847	-15.631	37.419	4.155	Platinum	AdTech
C31	-13.847	-3.631	36.419	4.155	Platinum	AdTech
C32	-12.847	4.369	35.419	4.155	Platinum	AdTech
