name	type	units	low_cutoff	high_cutoff	group	status	sampling_frequency
chan1	ECOG	µV	500.000	0.300	HD	good	2000.000
chan2	ECOG	µV	500.000	0.300	HD	good	2000.000
chan3	ECOG	µV	500.000	0.300	HD	good	2000.000
chan4	ECOG	µV	500.000	0.300	HD	good	2000.000
chan5	ECOG	µV	500.000	0.300	HD	good	2000.000
chan6	ECOG	µV	500.000	0.300	HD	good	2000.000
chan7	ECOG	µV	500.000	0.300	HD	good	2000.000
chan8	ECOG	µV	500.000	0.300	HD	good	2000.000
chan9	ECOG	µV	500.000	0.300	HD	good	2000.000
chan10	ECOG	µV	500.000	0.300	HD	good	2000.000
chan11	ECOG	µV	500.000	0.300	HD	good	2000.000
chan12	ECOG	µV	500.000	0.300	HD	good	2000.000
chan13	ECOG	µV	500.000	0.300	HD	good	2000.000
chan14	ECOG	µV	500.000	0.300	HD	good	2000.000
chan15	ECOG	µV	500.000	0.300	HD	good	2000.000
chan16	ECOG	µV	500.000	0.300	HD	good	2000.000
chan17	ECOG	µV	500.000	0.300	HD	good	2000.000
chan18	ECOG	µV	500.000	0.300	HD	good	2000.000
chan19	ECOG	µV	500.000	0.300	HD	good	2000.000
chan20	ECOG	µV	500.000	0.300	HD	good	2000.000
chan21	ECOG	µV	500.000	0.300	HD	good	2000.000
chan22	ECOG	µV	500.000	0.300	HD	good	2000.000
chan23	ECOG	µV	500.000	0.300	HD	good	2000.000
chan24	ECOG	µV	500.000	0.300	HD	good	2000.000
chan25	ECOG	µV	500.000	0.300	HD	good	2000.000
chan26	ECOG	µV	500.000	0.300	HD	good	2000.000
chan27	ECOG	µV	500.000	0.300	HD	good	2000.000
chan28	ECOG	µV	500.000	0.300	HD	good	2000.000
chan29	ECOG	µV	500.000	0.300	HD	good	2000.000
chan30	ECOG	µV	500.000	0.300	HD	good	2000.000
chan31	ECOG	µV	500.000	0.300	HD	good	2000.000
chan32	ECOG	µV	500.000	0.300	HD	good	2000.000
chan33	ECOG	µV	500.000	0.300	HD	good	2000.000
chan34	ECOG	µV	500.000	0.300	HD	good	2000.000
