name	type	units	low_cutoff	high_cutoff	reference	group	status	sampling_frequency
IH01	ECOG	µV	n/a	0.150	G2	IH	good	2048.000
IH02	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH03	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH04	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH05	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH06	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH07	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH08	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH09	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH10	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH11	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH12	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH13	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH14	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH15	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
IH16	ECOG	µV	0.000	0.150	G2	IH	good	2048.000
P01	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P02	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P03	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P04	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P05	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P06	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P07	ECOG	µV	0.000	0.150	G2	P	good	2048.000
P08	ECOG	µV	0.000	0.150	G2	P	good	2048.000
ECG+	ECG	µV	0.000	0.150	ECG-	n/a	good	2048.000
orb+	EOG	µV	0.000	0.150	orb-	n/a	good	2048.000
emg+	EMG	µV	0.000	0.150	emg-	n/a	good	2048.000
C01	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C02	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C03	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C04	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C05	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C06	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C07	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C08	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C09	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C10	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C11	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C12	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C13	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C14	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C15	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C16	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C17	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C18	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C19	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C20	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C21	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C22	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C23	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C24	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C25	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C26	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C27	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C28	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C29	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C30	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C31	ECOG	µV	0.000	0.150	G2	C	good	2048.000
C32	ECOG	µV	0.000	0.150	G2	C	good	2048.000
thor+	EMG	n/a	0.000	0.000	thor-	n/a	good	2048.000
abdo+	EMG	n/a	0.000	0.000	abdo-	n/a	good	2048.000
MKR+	TRIG	µV	0.000	0.000	MKR-	n/a	good	2048.000
