name	x	y	z	size	hemisphere	impedance
T01	-42.218	50.421	6.608	0.785	L	0.000
T02	-41.218	41.421	10.608	0.785	L	0.000
T03	-50.218	34.421	14.608	0.785	L	0.000
T04	-54.218	26.421	19.608	0.785	L	0.000
T05	-61.218	20.421	24.608	0.785	L	0.000
T06	-63.218	11.421	27.608	0.785	L	0.000
T07	-63.218	0.421	32.608	0.785	L	0.000
T08	-65.218	-9.579	39.608	0.785	L	0.000
T09	-43.218	44.421	-3.392	0.785	L	0.000
T10	-49.218	39.421	0.608	0.785	L	0.000
T11	-55.218	31.421	5.608	0.785	L	0.000
T12	-58.218	23.421	10.608	0.785	L	0.000
T13	-62.218	15.421	16.608	0.785	L	0.000
T14	-65.218	5.421	21.608	0.785	L	0.000
T15	-65.218	-6.579	21.608	0.785	L	0.000
T16	-63.218	-13.579	28.608	0.785	L	0.000
T17	-41.218	41.421	-11.392	0.785	L	0.000
T18	-47.218	33.421	-8.392	0.785	L	0.000
T19	-52.218	26.421	-5.392	0.785	L	0.000
T20	-59.218	18.421	1.608	0.785	L	0.000
T21	-62.218	10.421	6.608	0.785	L	0.000
T22	-62.218	0.421	10.608	0.785	L	0.000
T23	-62.218	-9.579	15.608	0.785	L	0.000
T24	-62.218	-18.579	20.608	0.785	L	0.000
T25	-38.218	34.421	-17.392	0.785	L	0.000
T26	-43.218	27.421	-14.392	0.785	L	0.000
T27	-48.218	20.421	-9.392	0.785	L	0.000
T28	-42.218	7.421	-5.392	0.785	L	0.000
T29	-41.218	1.421	-4.392	0.785	L	0.000
T30	-57.218	-4.579	1.608	0.785	L	0.000
T31	-44.218	-12.579	5.608	0.785	L	0.000
T32	-43.218	-20.579	8.608	0.785	L	0.000
T33	-32.218	-67.579	5.608	0.785	L	0.000
T34	-40.218	-62.579	8.608	0.785	L	0.000
T35	-45.218	-53.579	10.608	0.785	L	0.000
T36	-49.218	-43.579	13.608	0.785	L	0.000
T37	-43.218	-32.579	14.608	0.785	L	0.000
T38	-51.218	-24.579	18.608	0.785	L	0.000
T39	-62.218	-19.579	20.608	0.785	L	0.000
T40	-66.218	-10.579	21.608	0.785	L	0.000
T41	-29.218	-69.579	16.608	0.785	L	0.000
T42	-38.218	-64.579	18.608	0.785	L	0.000
T43	-45.218	-56.579	21.608	0.785	L	0.000
T44	-51.218	-47.579	23.608	0.785	L	0.000
T45	-45.218	-35.579	24.608	0.785	L	0.000
T46	-60.218	-28.579	28.608	0.785	L	0.000
T47	-62.218	-18.579	29.608	0.785	L	0.000
T48	-63.218	-8.579	32.608	0.785	L	0.000
T49	-26.218	-68.579	26.608	0.785	L	0.000
T50	-35.218	-62.579	28.608	0.785	L	0.000
T51	-44.218	-57.579	31.608	0.785	L	0.000
T52	-46.218	-46.579	33.608	0.785	L	0.000
T53	-46.218	-37.579	33.608	0.785	L	0.000
T54	-58.218	-31.579	38.608	0.785	L	0.000
T55	-63.218	-21.579	39.608	0.785	L	0.000
