name	x	y	z	size	manufacturer
T01	-35.106	30.181	-9.715	4.155	AdTech
T02	-43.106	24.181	-9.715	4.155	AdTech
T03	-48.106	16.181	-6.715	4.155	AdTech
T04	-51.106	8.181	-2.715	4.155	AdTech
T05	-54.106	-0.819	0.285	4.155	AdTech
T06	-55.106	-10.819	3.285	4.155	AdTech
T07	-53.106	-19.819	6.285	4.155	AdTech
T08	-50.106	-26.819	10.285	4.155	AdTech
T09	-39.106	37.181	-4.715	4.155	AdTech
T10	-48.106	30.181	-2.715	4.155	AdTech
T11	-54.106	22.181	1.285	4.155	AdTech
T12	-57.106	13.181	4.285	4.155	AdTech
T13	-60.106	3.181	8.285	4.155	AdTech
T14	-60.106	-6.819	12.285	4.155	AdTech
T15	-59.106	-16.819	16.285	4.155	AdTech
T16	-55.106	-25.819	20.285	4.155	AdTech
T17	-44.106	42.181	3.285	4.155	AdTech
T18	-49.106	34.181	7.285	4.155	AdTech
T19	-25.106	14.181	12.285	4.155	AdTech
T20	-59.106	17.181	13.285	4.155	AdTech
T21	-60.106	7.181	17.285	4.155	AdTech
T22	-62.106	-3.819	22.285	4.155	AdTech
T23	-60.106	-13.819	26.285	4.155	AdTech
T24	-58.106	-21.819	30.285	4.155	AdTech
T25	-40.106	43.181	13.285	4.155	AdTech
T26	-46.106	37.181	17.285	4.155	AdTech
T27	-52.106	29.181	19.285	4.155	AdTech
T28	-56.106	20.181	23.285	4.155	AdTech
T29	-59.106	10.181	27.285	4.155	AdTech
T30	-60.106	-0.819	31.285	4.155	AdTech
T31	-59.106	-10.819	36.285	4.155	AdTech
T32	-57.106	-18.819	39.285	4.155	AdTech
F33	-5.106	60.181	7.285	4.155	AdTech
F34	-15.106	58.181	11.285	4.155	AdTech
F35	-24.106	56.181	13.285	4.155	AdTech
F36	-33.106	54.181	14.285	4.155	AdTech
F37	-41.106	49.181	20.285	4.155	AdTech
F38	-43.106	43.181	26.285	4.155	AdTech
F39	-50.106	37.181	32.285	4.155	AdTech
F40	-53.106	31.181	39.285	4.155	AdTech
F41	-7.106	70.181	9.285	4.155	AdTech
F42	-16.106	67.181	15.285	4.155	AdTech
F43	-25.106	64.181	16.285	4.155	AdTech
F44	-37.106	64.181	20.285	4.155	AdTech
F45	-46.106	59.181	27.285	4.155	AdTech
F46	-48.106	51.181	34.285	4.155	AdTech
F47	-51.106	45.181	40.285	4.155	AdTech
F48	-49.106	36.181	46.285	4.155	AdTech
F49	-9.106	80.181	13.285	4.155	AdTech
F50	-18.106	77.181	17.285	4.155	AdTech
F51	-28.106	75.181	21.285	4.155	AdTech
F52	-36.106	70.181	27.285	4.155	AdTech
F53	-42.106	63.181	35.285	4.155	AdTech
F54	-45.106	56.181	42.285	4.155	AdTech
F55	-48.106	49.181	50.285	4.155	AdTech
F56	-45.106	40.181	56.285	4.155	AdTech
F57	-8.106	86.181	22.285	4.155	AdTech
F58	-16.106	84.181	27.285	4.155	AdTech
F59	-26.106	81.181	29.285	4.155	AdTech
F60	-32.106	75.181	36.285	4.155	AdTech
F61	-39.106	69.181	42.285	4.155	AdTech
F62	-40.106	61.181	50.285	4.155	AdTech
F63	-42.106	53.181	58.285	4.155	AdTech
F64	-44.106	46.181	64.285	4.155	AdTech
vT1	-16.106	10.181	4.285	4.155	AdTech
vT2	-15.106	18.181	1.285	4.155	AdTech
vT3	-17.106	28.181	-1.715	4.155	AdTech
vT4	-18.106	36.181	-3.715	4.155	AdTech
vT5	-22.106	42.181	-2.715	4.155	AdTech
vT6	-28.106	47.181	-1.715	4.155	AdTech
vT7	-33.106	48.181	4.285	4.155	AdTech
vT8	-39.106	46.181	9.285	4.155	AdTech
sT1	-14.106	-9.819	15.285	4.155	AdTech
sT2	-16.106	-2.819	10.285	4.155	AdTech
sT3	-22.106	3.181	3.285	4.155	AdTech
sT4	-26.106	9.181	-3.715	4.155	AdTech
sT5	-30.106	15.181	-8.715	4.155	AdTech
sT6	-36.106	21.181	-11.715	4.155	AdTech
sT7	-43.106	26.181	-9.715	4.155	AdTech
sT8	-48.106	31.181	-1.715	4.155	AdTech
