name	x	y	z	size	material	manufacturer	impedance
C01	-43.920	-59.731	7.000	4.200	Platinum	AdTech	0.000
C02	-51.826	-51.826	11.000	4.200	Platinum	AdTech	0.000
C03	-54.461	-41.285	9.000	4.200	Platinum	AdTech	0.000
C04	-55.339	-31.622	10.000	4.200	Platinum	AdTech	0.000
C05	-51.826	-21.082	7.000	4.200	Platinum	AdTech	0.000
C06	-59.731	-12.298	8.000	4.200	Platinum	AdTech	0.000
C07	-61.488	-1.757	8.000	4.200	Platinum	AdTech	0.000
C08	-60.610	8.784	6.000	4.200	Platinum	AdTech	0.000
C09	-42.163	-59.731	17.000	4.200	Platinum	AdTech	0.000
C10	-47.434	-51.826	20.000	4.200	Platinum	AdTech	0.000
C11	-52.704	-42.163	21.000	4.200	Platinum	AdTech	0.000
C12	-54.461	-31.622	21.000	4.200	Platinum	AdTech	0.000
C13	-57.975	-21.082	20.000	4.200	Platinum	AdTech	0.000
C14	-60.610	-11.419	20.000	4.200	Platinum	AdTech	0.000
C15	-60.610	-0.878	17.000	4.200	Platinum	AdTech	0.000
C16	-59.731	9.662	16.000	4.200	Platinum	AdTech	0.000
C17	-36.893	-58.853	27.000	4.200	Platinum	AdTech	0.000
C18	-43.042	-50.947	30.000	4.200	Platinum	AdTech	0.000
C19	-48.312	-40.407	32.000	4.200	Platinum	AdTech	0.000
C20	-51.826	-30.744	32.000	4.200	Platinum	AdTech	0.000
C21	-55.339	-21.082	33.000	4.200	Platinum	AdTech	0.000
C22	-57.096	-10.541	31.000	4.200	Platinum	AdTech	0.000
C23	-57.096	0.000	28.000	4.200	Platinum	AdTech	0.000
C24	-57.096	10.541	27.000	4.200	Platinum	AdTech	0.000
C25	-30.744	-57.096	35.000	4.200	Platinum	AdTech	0.000
C26	-37.771	-48.312	39.000	4.200	Platinum	AdTech	0.000
C27	-43.042	-38.650	40.000	4.200	Platinum	AdTech	0.000
C28	-46.555	-29.866	42.000	4.200	Platinum	AdTech	0.000
C29	-50.069	-18.447	41.000	4.200	Platinum	AdTech	0.000
C30	-50.947	-8.784	41.000	4.200	Platinum	AdTech	0.000
C31	-51.826	2.635	38.000	4.200	Platinum	AdTech	0.000
C32	-51.826	13.176	35.000	4.200	Platinum	AdTech	0.000
C33	-23.717	-55.339	43.000	4.200	Platinum	AdTech	0.000
C34	-28.987	-47.434	47.000	4.200	Platinum	AdTech	0.000
C35	-35.136	-36.893	48.000	4.200	Platinum	AdTech	0.000
C36	-38.650	-26.352	49.000	4.200	Platinum	AdTech	0.000
C37	-41.285	-16.690	49.000	4.200	Platinum	AdTech	0.000
C38	-42.163	-5.270	47.000	4.200	Platinum	AdTech	0.000
C39	-42.163	4.392	46.000	4.200	Platinum	AdTech	0.000
C40	-43.920	14.933	43.000	4.200	Platinum	AdTech	0.000
C41	-14.933	-53.583	48.000	4.200	Platinum	AdTech	0.000
C42	-21.082	-44.799	53.000	4.200	Platinum	AdTech	0.000
C43	-26.352	-34.258	55.000	4.200	Platinum	AdTech	0.000
C44	-30.744	-23.717	55.000	4.200	Platinum	AdTech	0.000
C45	-32.501	-13.176	55.000	4.200	Platinum	AdTech	0.000
C46	-32.501	-2.635	53.000	4.200	Platinum	AdTech	0.000
C47	-33.379	6.149	51.000	4.200	Platinum	AdTech	0.000
C48	-35.136	16.690	47.000	4.200	Platinum	AdTech	0.000
F49	-42.163	50.069	25.000	4.200	Platinum	AdTech	0.000
F50	-48.312	43.042	22.000	4.200	Platinum	AdTech	0.000
F51	-54.461	33.379	18.000	4.200	Platinum	AdTech	0.000
F52	-57.096	24.595	14.000	4.200	Platinum	AdTech	0.000
F53	-59.731	16.690	9.000	4.200	Platinum	AdTech	0.000
F54	-60.610	7.906	5.000	4.200	Platinum	AdTech	0.000
F55	-62.367	-0.878	-1.000	4.200	Platinum	AdTech	0.000
F56	-64.123	-9.662	-6.000	4.200	Platinum	AdTech	0.000
F57	-45.677	54.461	16.000	4.200	Platinum	AdTech	0.000
F58	-51.826	48.312	12.000	4.200	Platinum	AdTech	0.000
F59	-55.339	38.650	9.000	4.200	Platinum	AdTech	0.000
F60	-54.461	29.866	6.000	4.200	Platinum	AdTech	0.000
F61	-55.339	20.203	-1.000	4.200	Platinum	AdTech	0.000
F62	-59.731	13.176	-5.000	4.200	Platinum	AdTech	0.000
F63	-63.245	4.392	-10.000	4.200	Platinum	AdTech	0.000
F64	-67.637	-4.392	-14.000	4.200	Platinum	AdTech	0.000
hC1	-7.906	-67.637	23.000	4.200	Platinum	AdTech	0.000
hC2	-7.906	-64.123	31.000	4.200	Platinum	AdTech	0.000
hC3	-6.149	-57.096	43.000	4.200	Platinum	AdTech	0.000
hC4	-6.149	-44.799	53.000	4.200	Platinum	AdTech	0.000
hC5	-10.541	-33.379	58.000	4.200	Platinum	AdTech	0.000
hC6	-15.811	-22.838	60.000	4.200	Platinum	AdTech	0.000
hC7	-21.082	-10.541	57.000	4.200	Platinum	AdTech	0.000
hC8	-28.987	-6.149	55.000	4.200	Platinum	AdTech	0.000
hF1	-30.744	21.960	48.000	4.200	Platinum	AdTech	0.000
hF2	-40.407	21.082	43.000	4.200	Platinum	AdTech	0.000
hF3	-49.191	17.568	36.000	4.200	Platinum	AdTech	0.000
hF4	-55.339	16.690	27.000	4.200	Platinum	AdTech	0.000
hF5	-30.744	31.622	46.000	4.200	Platinum	AdTech	0.000
hF6	-41.285	30.744	41.000	4.200	Platinum	AdTech	0.000
hF7	-49.191	28.987	34.000	4.200	Platinum	AdTech	0.000
hF8	-53.583	26.352	23.000	4.200	Platinum	AdTech	0.000
