name	type	units	low_cutoff	high_cutoff	reference	group	notch	status	status_description	sampling_frequency
T01	ECOG	µV	n/a	0.150	G2	T	0.000	good	n/a	512.000
T02	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T03	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T04	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T05	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T06	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T07	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T08	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T09	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T10	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T11	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T12	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T13	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T14	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T15	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T16	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T17	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T18	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T19	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T20	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T21	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T22	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T23	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T24	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T25	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T26	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T27	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T28	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T29	ECOG	µV	0.000	0.150	G2	T	0.000	bad	noisy	512.000
T30	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T31	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
T32	ECOG	µV	0.000	0.150	G2	T	0.000	good	n/a	512.000
Oc1	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc2	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc3	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc4	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc5	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc6	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc7	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
Oc8	ECOG	µV	0.000	0.150	G2	Oc	0.000	good	n/a	512.000
SOT1	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT2	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT3	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT4	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT5	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT6	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT7	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
SOT8	ECOG	µV	0.000	0.150	G2	SOT	0.000	good	n/a	512.000
sTa1	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
sTa2	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
sTa3	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
sTa4	ECOG	µV	0.000	0.150	G2	sTa	0.000	bad	on top of other channels	512.000
sTa5	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
sTa6	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
sTa7	ECOG	µV	0.000	0.150	G2	sTa	0.000	good	n/a	512.000
sTa8	ECOG	µV	0.000	0.150	G2	sTa	0.000	bad	on top of other channels	512.000
sTv1	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv2	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv3	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv4	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv5	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv6	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv7	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
sTv8	ECOG	µV	0.000	0.150	G2	sTv	0.000	good	n/a	512.000
C01	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C02	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C03	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C04	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C05	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C06	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C07	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
C08	ECOG	µV	0.000	0.150	G2	C	0.000	good	n/a	512.000
AH+	MISC	µV	0.000	0.150	AH-	n/a	0.000	good	n/a	512.000
emg+	EMG	µV	0.000	0.150	emg-	n/a	0.000	good	n/a	512.000
