name	x	y	z	size	manufacturer	impedance
F01	38.608	62.331	5.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F02	45.608	59.331	9.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F03	51.608	49.331	12.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F04	55.608	39.331	14.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F05	57.608	30.331	15.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F06	58.608	20.331	16.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F07	58.608	10.331	17.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F08	60.608	-0.669	19.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F09	34.608	66.331	14.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F10	43.608	60.331	20.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F11	48.608	51.331	22.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F12	51.608	41.331	23.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F13	53.608	31.331	25.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F14	55.608	22.331	26.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F15	56.608	11.331	27.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F16	54.608	0.331	29.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F17	29.608	66.331	23.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F18	36.608	59.331	28.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F19	42.608	51.331	32.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F20	45.608	41.331	34.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F21	48.608	32.331	35.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F22	50.608	21.331	36.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F23	50.608	10.331	37.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F24	49.608	0.331	37.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F25	22.608	66.331	30.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F26	29.608	59.331	35.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F27	34.608	51.331	39.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F28	39.608	41.331	42.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F29	42.608	31.331	44.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F30	43.608	21.331	44.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F31	45.608	10.331	45.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
F32	44.608	0.331	45.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH01	18.608	56.331	45.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH02	23.608	47.331	49.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH03	29.608	38.331	51.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH04	32.608	28.331	52.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH05	34.608	19.331	51.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH06	38.608	9.331	50.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH07	40.608	-0.669	50.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH08	43.608	-9.669	47.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH09	9.608	52.331	48.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH10	14.608	45.331	53.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH11	19.608	35.331	56.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH12	24.608	26.331	56.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH13	27.608	17.331	56.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH14	28.608	6.331	55.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH15	32.608	-2.669	55.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FH16	34.608	-13.669	52.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA1	7.608	46.331	-14.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA2	16.608	41.331	-13.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA3	24.608	38.331	-13.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA4	32.608	38.331	-13.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA5	50.608	28.331	-7.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA6	52.608	22.331	-2.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA7	56.608	13.331	1.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOA8	59.608	8.331	8.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV1	8.608	56.331	-10.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV2	17.608	53.331	-7.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV3	24.608	50.331	-4.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV4	34.608	49.331	-3.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV5	44.608	48.331	-3.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV6	52.608	41.331	-2.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV7	53.608	30.331	-0.468	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
FOV8	55.608	22.331	4.532	4.155	Ad-Tech Medical (Oak Creek, WI)	0.000
C01	60.608	6.331	1.532	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C02	61.108	3.688	2.675	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C03	61.608	1.045	3.818	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C04	62.108	-1.598	4.961	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C05	62.608	-4.240	6.103	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C06	63.108	-6.883	7.246	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C07	63.608	-9.526	8.389	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
C08	64.108	-12.169	9.532	1.327	Ad-Tech Medical (Oak Creek, WI)	0.000
