name	x	y	z	size	manufacturer	impedance
Gr1	-68.006	16.299	28.456	0.785	PMT (Chanhassen, MN)	0.000
Gr2	-69.298	16.591	24.925	0.785	PMT (Chanhassen, MN)	0.000
Gr3	-70.521	16.775	21.404	0.785	PMT (Chanhassen, MN)	0.000
Gr4	-71.395	17.145	17.838	0.785	PMT (Chanhassen, MN)	0.000
Gr5	-72.136	17.290	13.708	0.785	PMT (Chanhassen, MN)	0.000
Gr6	-72.283	17.390	10.052	0.785	PMT (Chanhassen, MN)	0.000
Gr7	-72.343	17.712	5.939	0.785	PMT (Chanhassen, MN)	0.000
Gr8	-72.275	17.924	2.470	0.785	PMT (Chanhassen, MN)	0.000
Gr9	-69.831	12.746	24.853	0.785	PMT (Chanhassen, MN)	0.000
Gr10	-71.928	13.478	17.365	0.785	PMT (Chanhassen, MN)	0.000
Gr11	-72.874	13.632	9.881	0.785	PMT (Chanhassen, MN)	0.000
Gr12	-72.992	14.309	2.443	0.785	PMT (Chanhassen, MN)	0.000
Gr13	-69.213	8.746	27.928	0.785	PMT (Chanhassen, MN)	0.000
Gr14	-70.384	8.955	24.683	0.785	PMT (Chanhassen, MN)	0.000
Gr15	-71.524	9.481	20.983	0.785	PMT (Chanhassen, MN)	0.000
Gr16	-72.422	9.621	17.199	0.785	PMT (Chanhassen, MN)	0.000
Gr17	-73.104	9.784	13.712	0.785	PMT (Chanhassen, MN)	0.000
Gr18	-73.431	10.138	9.519	0.785	PMT (Chanhassen, MN)	0.000
Gr19	-73.575	10.085	5.747	0.785	PMT (Chanhassen, MN)	0.000
Gr20	-73.660	10.327	2.308	0.785	PMT (Chanhassen, MN)	0.000
Gr21	-70.864	5.189	24.582	0.785	PMT (Chanhassen, MN)	0.000
Gr22	-72.902	5.700	17.143	0.785	PMT (Chanhassen, MN)	0.000
Gr23	-74.016	6.404	9.403	0.785	PMT (Chanhassen, MN)	0.000
Gr24	-74.228	6.776	1.881	0.785	PMT (Chanhassen, MN)	0.000
Gr25	-70.232	1.316	27.818	0.785	PMT (Chanhassen, MN)	0.000
Gr26	-71.362	1.412	24.429	0.785	PMT (Chanhassen, MN)	0.000
Gr27	-72.501	1.850	20.761	0.785	PMT (Chanhassen, MN)	0.000
Gr28	-73.350	1.940	17.148	0.785	PMT (Chanhassen, MN)	0.000
Gr29	-74.113	2.380	13.101	0.785	PMT (Chanhassen, MN)	0.000
Gr30	-74.618	2.540	9.306	0.785	PMT (Chanhassen, MN)	0.000
Gr31	-74.708	2.884	5.386	0.785	PMT (Chanhassen, MN)	0.000
Gr32	-74.813	3.082	1.606	0.785	PMT (Chanhassen, MN)	0.000
Gr33	-71.891	-2.163	24.105	0.785	PMT (Chanhassen, MN)	0.000
Gr34	-73.809	-1.769	17.067	0.785	PMT (Chanhassen, MN)	0.000
Gr35	-75.181	-1.362	9.347	0.785	PMT (Chanhassen, MN)	0.000
Gr36	-75.376	-0.534	1.603	0.785	PMT (Chanhassen, MN)	0.000
Gr37	-70.896	-6.365	27.562	0.785	PMT (Chanhassen, MN)	0.000
Gr38	-72.345	-5.826	23.903	0.785	PMT (Chanhassen, MN)	0.000
Gr39	-73.478	-5.760	20.535	0.785	PMT (Chanhassen, MN)	0.000
Gr40	-74.313	-5.628	16.857	0.785	PMT (Chanhassen, MN)	0.000
Gr41	-75.004	-5.112	13.121	0.785	PMT (Chanhassen, MN)	0.000
Gr42	-75.711	-5.118	9.182	0.785	PMT (Chanhassen, MN)	0.000
Gr43	-75.879	-4.576	5.111	0.785	PMT (Chanhassen, MN)	0.000
Gr44	-76.020	-4.608	1.331	0.785	PMT (Chanhassen, MN)	0.000
Gr45	-72.761	-9.586	23.519	0.785	PMT (Chanhassen, MN)	0.000
Gr46	-74.749	-9.013	16.529	0.785	PMT (Chanhassen, MN)	0.000
Gr47	-76.082	-8.455	9.175	0.785	PMT (Chanhassen, MN)	0.000
Gr48	-76.365	-7.941	1.513	0.785	PMT (Chanhassen, MN)	0.000
Gr49	-68.610	12.508	28.200	0.785	PMT (Chanhassen, MN)	0.000
Gr50	-71.006	13.078	21.262	0.785	PMT (Chanhassen, MN)	0.000
Gr51	-72.669	13.441	13.635	0.785	PMT (Chanhassen, MN)	0.000
Gr52	-72.969	13.947	5.872	0.785	PMT (Chanhassen, MN)	0.000
Gr53	-69.713	5.090	27.881	0.785	PMT (Chanhassen, MN)	0.000
Gr54	-72.021	5.668	20.843	0.785	PMT (Chanhassen, MN)	0.000
Gr55	-73.659	6.228	13.068	0.785	PMT (Chanhassen, MN)	0.000
Gr56	-74.140	6.481	5.626	0.785	PMT (Chanhassen, MN)	0.000
Gr57	-70.610	-2.512	27.713	0.785	PMT (Chanhassen, MN)	0.000
Gr58	-73.037	-2.083	20.547	0.785	PMT (Chanhassen, MN)	0.000
Gr59	-74.537	-1.326	13.193	0.785	PMT (Chanhassen, MN)	0.000
Gr60	-75.318	-0.985	5.190	0.785	PMT (Chanhassen, MN)	0.000
Gr61	-71.056	-10.104	27.434	0.785	PMT (Chanhassen, MN)	0.000
Gr62	-73.888	-9.339	20.285	0.785	PMT (Chanhassen, MN)	0.000
Gr63	-75.496	-8.747	12.780	0.785	PMT (Chanhassen, MN)	0.000
Gr64	-76.224	-8.047	5.214	0.785	PMT (Chanhassen, MN)	0.000
