name	x	y	z	size	manufacturer	group	hemisphere	impedance
T01	-51.216	50.685	2.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T02	-53.216	42.685	6.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T03	-57.216	34.685	11.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T04	-61.216	25.685	16.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T05	-64.216	15.685	20.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T06	-65.216	6.685	24.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T07	-66.216	-4.315	29.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T08	-66.216	-13.315	33.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T09	-49.216	45.685	-6.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T10	-56.216	38.685	-1.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T11	-61.216	30.685	2.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T12	-63.216	21.685	7.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T13	-65.216	11.685	12.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T14	-67.216	1.685	16.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T15	-68.216	-8.315	20.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T16	-68.216	-18.315	24.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T17	-50.216	41.685	-16.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T18	-59.216	33.685	-11.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T19	-62.216	25.685	-6.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T20	-66.216	17.685	-1.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T21	-68.216	8.685	3.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T22	-69.216	-1.315	7.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T23	-70.216	-12.315	11.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T24	-69.216	-21.315	16.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T25	-50.216	35.685	-24.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T26	-57.216	29.685	-20.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T27	-63.216	21.685	-15.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T28	-67.216	13.685	-9.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T29	-69.216	3.685	-5.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T30	-71.216	-5.315	-1.587	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T31	-71.216	-16.315	3.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
T32	-70.216	-25.315	6.413	4.155	Ad-Tech Medical (Oak Creek, WI)	T	L	0.000
FB01	-32.216	87.685	13.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB02	-43.216	79.685	18.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB03	-49.216	70.685	20.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB04	-52.216	62.685	23.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB05	-54.216	53.685	26.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB06	-56.216	42.685	28.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB07	-58.216	32.685	33.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB08	-62.216	23.685	36.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB09	-32.216	83.685	2.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB10	-44.216	77.685	6.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB11	-50.216	67.685	11.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB12	-53.216	59.685	14.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB13	-56.216	49.685	17.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB14	-57.216	38.685	19.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB15	-61.216	30.685	22.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
FB16	-63.216	20.685	27.413	4.155	Ad-Tech Medical (Oak Creek, WI)	FB	L	0.000
vT1	-44.216	1.685	-17.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT2	-38.216	6.685	-22.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT3	-31.216	11.685	-27.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT4	-22.216	23.685	-32.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT5	-23.216	34.685	-30.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT6	-24.216	45.685	-23.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT7	-30.216	48.685	-17.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
vT8	-35.216	49.685	-10.587	4.155	Ad-Tech Medical (Oak Creek, WI)	vT	L	0.000
sT1	-25.216	1.685	-19.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
sT2	-29.216	3.685	-19.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
sT3	-37.216	8.685	-24.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
sT4	-41.216	14.685	-29.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
sT5	-48.216	24.685	-31.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
sT6	-55.216	29.685	-23.587	4.155	Ad-Tech Medical (Oak Creek, WI)	sT	L	0.000
